timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
431281721,431280658,0.7099906,-0.0018170518,-0.021827117,0.70387053,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431335822,431334756,0.709999,-0.0018138234,-0.021861248,0.7038609,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431385574,431384310,0.70999265,-0.0017986542,-0.0218231,0.7038686,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431434910,431433940,0.7099632,-0.0018668112,-0.021825321,0.703898,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431480561,431479024,0.7099987,-0.0017761505,-0.021788958,0.7038637,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431534106,431533126,0.70998216,-0.0017877611,-0.021800365,0.70387995,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431583704,431582670,0.70996773,-0.0018167146,-0.021782458,0.70389503,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431633565,431632308,0.7099724,-0.0018093018,-0.021773217,0.70389056,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431682973,431681854,0.70995325,-0.0017480332,-0.021796029,0.7039093,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431732589,431731492,0.70997953,-0.0018174398,-0.021813948,0.7038821,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431782032,431781038,0.7099719,-0.0018210891,-0.021785377,0.7038906,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431831704,431830676,0.70998156,-0.0018033842,-0.021800725,0.7038805,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431885901,431884779,0.71000344,-0.0017566484,-0.021765623,0.70385957,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431935553,431934324,0.71000296,-0.0017426504,-0.02166432,0.7038633,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
431980826,431979406,0.70998204,-0.0017251523,-0.021583537,0.7038869,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
432030259,432029054,0.7100007,-0.0015893182,-0.021319283,0.70387644,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
432084168,432083144,0.7100157,-0.0012464414,-0.02087202,0.70387536,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
