timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
993950545,993949355,0.7536348,-0.0046898574,-0.023197303,0.6568672,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
993955109,993953908,0.753637,-0.0046849446,-0.02318712,0.6568651,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994000028,993998994,0.7536564,-0.0047234367,-0.023196755,0.65684223,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994054266,994053098,0.7536509,-0.004713272,-0.023202213,0.6568484,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994103800,994102647,0.7536593,-0.0047005652,-0.023195527,0.65683913,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994153518,994152288,0.75367737,-0.0047021043,-0.023165321,0.65681946,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994202849,994201837,0.7536755,-0.0046907873,-0.023166383,0.6568216,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994252610,994251477,0.75368875,-0.0046975915,-0.023167271,0.65680635,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994302094,994301026,0.7537021,-0.004681611,-0.023122087,0.6567927,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994351832,994350667,0.7536902,-0.0046682386,-0.023126055,0.65680635,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994405795,994404771,0.7536993,-0.004694996,-0.023151979,0.65679485,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994455488,994454321,0.7537226,-0.004684358,-0.02313619,0.65676856,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
994505036,994503961,0.75372285,-0.0046691964,-0.023128387,0.6567687,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
