timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6372000,6372000,0.9937324,0.008770547,-0.010683935,-0.11092731,1.0,0.0,0.0,0.0,0
6376000,6376000,0.9937397,0.008595065,-0.010678873,-0.11087628,1.0,0.0,0.0,0.0,0
6380000,6380000,0.99373037,0.008531394,-0.010787842,-0.11095443,1.0,0.0,0.0,0.0,0
6384000,6384000,0.9937178,0.008536497,-0.010902109,-0.11105566,1.0,0.0,0.0,0.0,0
6392000,6392000,0.9937566,0.008407636,-0.010788439,-0.11072882,1.0,0.0,0.0,0.0,0
6396000,6396000,0.9937673,0.008282781,-0.010782753,-0.11064159,1.0,0.0,0.0,0.0,0
6404000,6404000,0.9938683,0.008124016,-0.010756515,-0.10974639,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6408000,6408000,0.9938534,0.008144976,-0.01082282,-0.109872915,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6416000,6416000,0.99383056,0.008166765,-0.010673516,-0.11009243,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6420000,6420000,0.993841,0.008027358,-0.010668043,-0.11000902,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6424000,6424000,0.99385697,0.007919005,-0.010514178,-0.109886646,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6428000,6428000,0.9938656,0.007999745,-0.010274044,-0.10982616,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6432000,6432000,0.99388236,0.00812943,-0.010184319,-0.10967242,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6436000,6436000,0.9939065,0.008122412,-0.010209596,-0.10945162,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6440000,6440000,0.99391025,0.008047002,-0.010181587,-0.109426595,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6444000,6444000,0.9938902,0.00802502,-0.010142256,-0.10961266,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6448000,6448000,0.99386513,0.008039078,-0.010144026,-0.10983994,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
