timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
1204000,-0.0,-0.0,-0.2458325,0.0,0.9924553,-0.0,0.0,-0.12260698,0.0,0.0,-0.001,0,0
1212000,-0.0,-0.0,-0.24691276,0.0,0.99238896,-0.0,0.0,-0.12314302,0.0,0.0,-0.001,0,0
1252000,-0.0,-0.0,-0.24568762,0.0,0.99246424,-0.0,0.0,-0.12253508,0.0,0.0,-0.001,0,0
1300000,-0.0,-0.0,-0.24563594,0.0,0.99246734,-0.0,0.0,-0.122509435,0.0,0.0,-0.001,0,0
1356000,-0.0,-0.0,-0.2449246,0.0,0.9925109,-0.0,0.0,-0.12215644,0.0,0.0,-0.001,0,0
1404000,-0.0,-0.0,-0.24447769,0.0,0.99253815,-0.0,0.0,-0.12193465,0.0,0.0,-0.001,0,0
1452000,-0.0,-0.0,-0.24523643,0.0,0.9924918,-0.0,0.0,-0.12231118,0.0,0.0,-0.001,0,0
1500000,-0.0,-0.0,-0.24376649,0.0,0.9925814,-0.0,0.0,-0.1215817,0.0,0.0,-0.001,0,0
1556000,-0.0,-0.0,-0.24213664,0.0,0.9926802,-0.0,0.0,-0.12077277,0.0,0.0,-0.001,0,0
1604000,-0.0,-0.0,-0.24112536,0.0,0.9927411,-0.0,0.0,-0.12027082,0.0,0.0,-0.001,0,0
1652000,-0.0,-0.0,-0.24310562,0.0,0.99262154,-0.0,0.0,-0.121253714,0.0,0.0,-0.001,0,0
1708000,-0.0,-0.0,-0.2645229,0.0,0.9912662,-0.0,0.0,-0.13187619,0.0,0.0,-0.001,0,0
1756000,-0.0,-0.0,-0.26435792,0.0,0.9912771,-0.0,0.0,-0.13179441,0.0,0.0,-0.001,0,0
1804000,-0.0,-0.0,-0.26815763,0.0,0.9910249,-0.0,0.0,-0.13367745,0.0,0.0,-0.001,0,0
1852000,-0.0,-0.0,-0.26985738,0.0,0.99091095,-0.0,0.0,-0.13451965,0.0,0.0,-0.001,0,0
1908000,-0.0,-0.0,-0.26731429,0.0,0.9910812,-0.0,0.0,-0.13325955,0.0,0.0,-0.001,0,0
1956000,-0.0,-0.0,-0.2685066,0.0,0.99100155,-0.0,0.0,-0.13385037,0.0,0.0,-0.001,0,0
2004000,-0.0,-0.0,-0.2694156,0.0,0.99094063,-0.0,0.0,-0.13430075,0.0,0.0,-0.001,0,0
2052000,-0.0,-0.0,-0.27198982,0.0,0.99076694,-0.0,0.0,-0.13557608,0.0,0.0,-0.001,0,0
2108000,-0.0,-0.0,-0.27211586,0.0,0.9907584,-0.0,0.0,-0.13563854,0.0,0.0,-0.001,0,0
2156000,-0.0,-0.0,-0.2716839,0.0,0.9907877,-0.0,0.0,-0.13542455,0.0,0.0,-0.001,0,0
2204000,-0.0,-0.0,-0.27119598,0.0,0.99082065,-0.0,0.0,-0.13518283,0.0,0.0,-0.001,0,0
2252000,-0.0,-0.0,-0.27067,0.0,0.99085623,-0.0,0.0,-0.13492225,0.0,0.0,-0.001,0,0
2308000,-0.0,-0.0,-0.27030525,0.0,0.9908808,-0.0,0.0,-0.13474156,0.0,0.0,-0.001,0,0
2356000,-0.0,-0.0,-0.26977745,0.0,0.9909163,-0.0,0.0,-0.13448004,0.0,0.0,-0.001,0,0
2404000,-0.0,-0.0,-0.27188545,0.0,0.990774,-0.0,0.0,-0.13552439,0.0,0.0,-0.001,0,0
2452000,-0.0,-0.0,-0.27061298,0.0,0.99086004,-0.0,0.0,-0.13489404,0.0,0.0,-0.001,0,0
2500000,-0.0,-0.0,-0.2514483,0.0,0.99210715,-0.0,0.0,-0.12539323,0.0,0.0,-0.001,0,0
2556000,-0.0,-0.0,-0.24926323,0.0,0.9922435,-0.0,0.0,-0.12430923,0.0,0.0,-0.001,0,0
2604000,-0.0,-0.0,-0.24570797,0.0,0.99246293,-0.0,0.0,-0.1225452,0.0,0.0,-0.001,0,0
2652000,-0.0,-0.0,-0.24711365,0.0,0.99237657,-0.0,0.0,-0.123242676,0.0,0.0,-0.001,0,0
2708000,-0.0,-0.0,-0.24600144,0.0,0.99244493,-0.0,0.0,-0.12269081,0.0,0.0,-0.001,0,0
2756000,-0.0,-0.0,-0.24221271,0.0,0.9926756,-0.0,0.0,-0.12081054,0.0,0.0,-0.001,0,0
2804000,-0.0,-0.0,-0.24121964,0.0,0.99273545,-0.0,0.0,-0.120317616,0.0,0.0,-0.001,0,0
